,Model,Aantal lagen,Accuracy,Tijd (s),Tijd Epoch 1,Tijd Epoch 2,Tijd Epoch 3,Tijd Epoch 4,Tijd Epoch 5
1,LSTM,1,64.401%,1860,346,339,368,345,462
2,,2,64.758%,2534,559,485,499,492,499
3,,3,64.215%,3103,668,613,611,606,605
4,GRU,1,63.847%,1572,316,313,317,313,313
5,,2,64.543%,2044,410,409,408,409,408
6,,3,64.517%,2407,484,480,481,480,482
7,CNN,1,63.983%,286,59,57,56,57,57
8,,2,56.884%,265,54,53,53,53,52
9,,3,57.329%,290,60,57,57,58,58
10,CNN + GRU,1,64.665%,848,172,169,169,169,169
11,GRU + CNN,1,64.283%,1558,302,306,304,304,342
12,CNN + LSTM,1,64.511%,1045,200,222,236,202,185
13,LSTM + CNN,1,64.347%,2116,389,386,385,384,572
,,,,,,,,,
,LSTM 3 epochs,2,64.49%,2000,,,,,
